Exited,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,BalanceSalaryRatio,TenureByAge,CreditScoreGivenAge,HasCrCard,IsActiveMember,Gender
1,619,42,2,0.0,1,101348.88,0.0,0.047619047619047616,14.738095238095237,1,1,0
1,502,42,8,159660.8,3,113931.57,1.4013745268322026,0.19047619047619047,11.952380952380953,1,0,0
1,475,45,0,134264.04,1,27822.99,4.825651017378075,0.0,10.555555555555555,1,0,0
1,465,51,8,122522.32,1,181297.65,0.675807546319547,0.1568627450980392,9.117647058823529,0,0,0
1,834,49,2,131394.56,1,194365.76,0.6760170104034784,0.04081632653061224,17.020408163265305,0,0,0
1,777,32,2,0.0,1,136458.19,0.0,0.0625,24.28125,1,0,0
1,646,46,4,0.0,3,93251.42,0.0,0.08695652173913043,14.043478260869565,1,0,0
1,432,42,9,152603.45,1,110265.24,1.3839669691010512,0.21428571428571427,10.285714285714286,1,0,1
1,549,52,1,0.0,1,8636.05,0.0,0.019230769230769232,10.557692307692308,0,1,0
1,691,31,5,40915.55,1,126213.84,0.32417641361676347,0.16129032258064516,22.29032258064516,1,0,0
1,535,48,9,0.0,1,149892.79,0.0,0.1875,11.145833333333334,1,0,0
1,804,50,4,0.0,1,8546.87,0.0,0.08,16.08,1,1,0
1,715,41,8,56214.85,2,92982.61,0.6045738014882568,0.1951219512195122,17.4390243902439,0,0,0
1,711,38,2,129022.06,2,14374.86,8.975535066080644,0.05263157894736842,18.710526315789473,1,1,0
1,643,45,5,0.0,1,142513.5,0.0,0.1111111111111111,14.28888888888889,1,0,1
1,807,43,1,105799.32,2,34888.04,3.0325383713157863,0.023255813953488372,18.767441860465116,1,0,1
1,592,54,8,0.0,1,28737.71,0.0,0.14814814814814814,10.962962962962964,1,1,1
1,850,33,10,0.0,1,4861.72,0.0,0.30303030303030304,25.757575757575758,1,0,1
1,668,46,2,0.0,3,89048.46,0.0,0.043478260869565216,14.521739130434783,1,0,0
1,635,40,10,123497.58,1,131953.23,0.9359193405117858,0.25,15.875,1,0,0
1,756,62,3,0.0,1,11199.04,0.0,0.04838709677419355,12.193548387096774,1,1,1
1,714,46,1,0.0,1,152167.79,0.0,0.021739130434782608,15.521739130434783,1,0,1
1,731,43,2,0.0,1,170034.95,0.0,0.046511627906976744,17.0,1,1,1
1,614,50,4,137104.47,1,127166.49,1.0781493615181168,0.08,12.28,1,0,1
1,559,49,2,147069.78,1,120540.83,1.2200826889942602,0.04081632653061224,11.408163265306122,1,0,1
1,749,40,1,139290.41,1,182855.42,0.7617516068159205,0.025,18.725,1,0,1
1,644,46,9,95441.27,1,108761.05,0.8775317082724008,0.1956521739130435,14.0,1,0,0
1,485,29,7,182123.79,1,116828.51,1.5588985085917815,0.2413793103448276,16.724137931034484,1,0,1
1,616,66,1,135842.41,1,183840.51,0.7389144536206954,0.015151515151515152,9.333333333333334,1,0,0
1,675,38,6,68065.8,1,138777.0,0.49046888173112263,0.15789473684210525,17.763157894736842,0,0,0
1,662,32,4,133950.37,1,48725.68,2.749071331585316,0.125,20.6875,1,1,0
1,703,37,1,149762.08,1,20629.4,7.259643033728561,0.02702702702702703,19.0,1,0,1
1,542,39,3,135096.77,1,14353.43,9.412159323590249,0.07692307692307693,13.897435897435898,1,1,1
1,531,47,6,0.0,1,194998.34,0.0,0.1276595744680851,11.297872340425531,0,0,0
1,673,38,2,170061.92,2,134901.34,1.2606392197438514,0.05263157894736842,17.710526315789473,0,0,0
1,570,58,8,0.0,1,116503.92,0.0,0.13793103448275862,9.827586206896552,0,1,0
1,774,60,5,85891.55,1,74135.48,1.1585754890910533,0.08333333333333333,12.9,1,0,1
1,605,51,3,136188.78,1,67110.59,2.0293187707037,0.058823529411764705,11.862745098039216,1,1,0
1,468,56,10,0.0,3,62256.87,0.0,0.17857142857142858,8.357142857142858,0,1,0
1,698,48,4,101238.24,2,177815.87,0.5693431075640212,0.08333333333333333,14.541666666666666,0,1,1
1,850,35,1,211774.31,1,188574.12,1.1230295546387807,0.02857142857142857,24.285714285714285,1,0,0
1,608,59,1,0.0,1,70649.64,0.0,0.01694915254237288,10.305084745762711,1,0,1
1,504,49,7,0.0,3,87822.14,0.0,0.14285714285714285,10.285714285714286,0,1,0
1,509,46,1,0.0,1,71244.59,0.0,0.021739130434782608,11.065217391304348,1,0,0
1,651,45,1,0.0,1,67740.08,0.0,0.022222222222222223,14.466666666666667,1,0,1
1,760,51,2,100946.71,1,179614.8,0.5620177735910404,0.0392156862745098,14.901960784313726,0,0,0
1,601,43,8,0.0,3,110916.15,0.0,0.18604651162790697,13.976744186046512,0,1,0
1,566,30,5,0.0,1,54926.51,0.0,0.16666666666666666,18.866666666666667,1,0,1
1,589,61,1,0.0,1,61108.56,0.0,0.01639344262295082,9.655737704918034,1,0,0
1,850,31,6,67996.23,2,50129.87,1.3564014827886046,0.1935483870967742,27.419354838709676,0,0,1
1,819,39,9,133102.92,1,27046.46,4.921269548769045,0.23076923076923078,21.0,1,0,0
1,673,34,8,42157.08,1,20598.59,2.0466002770092517,0.23529411764705882,19.794117647058822,1,0,0
1,625,51,7,136294.97,1,38867.46,3.5066600698887966,0.13725490196078433,12.254901960784315,1,0,0
1,499,57,1,0.0,1,131372.38,0.0,0.017543859649122806,8.75438596491228,0,0,0
1,611,49,2,88915.37,3,161435.02,0.550781174989169,0.04081632653061224,12.46938775510204,0,0,0
1,693,35,5,124151.09,1,88705.14,1.3995929660896764,0.14285714285714285,19.8,1,0,0
1,531,63,1,114715.71,1,24506.95,4.680946017354261,0.015873015873015872,8.428571428571429,0,1,0
1,598,64,1,0.0,2,195635.3,0.0,0.015625,9.34375,1,0,1
1,667,43,8,190227.46,1,97508.04,1.9508899984042343,0.18604651162790697,15.511627906976743,1,0,1
1,548,32,2,172448.77,1,188083.77,0.9168721469162384,0.0625,17.125,1,0,0
1,636,48,1,170833.46,1,110510.28,1.5458603489195755,0.020833333333333332,13.25,1,0,0
1,749,60,6,0.0,1,17978.68,0.0,0.1,12.483333333333333,1,0,0
1,679,43,4,0.0,3,115136.51,0.0,0.09302325581395349,15.790697674418604,1,0,0
1,643,45,4,45144.43,1,60917.24,0.7410780593474031,0.08888888888888889,14.28888888888889,1,0,0
1,703,51,3,0.0,3,77294.56,0.0,0.058823529411764705,13.784313725490197,1,1,0
1,523,40,2,102967.41,1,128702.1,0.8000445214180655,0.05,13.075,1,0,0
1,599,58,4,0.0,1,176407.15,0.0,0.06896551724137931,10.327586206896552,0,0,1
1,672,45,9,0.0,1,92027.69,0.0,0.2,14.933333333333334,1,1,0
1,516,46,1,104947.72,1,115789.25,0.906368423666273,0.021739130434782608,11.217391304347826,1,0,0
1,475,39,6,0.0,1,56999.9,0.0,0.15384615384615385,12.179487179487179,1,1,1
1,555,51,5,0.0,3,189122.89,0.0,0.09803921568627451,10.882352941176471,1,0,1
1,775,52,8,109922.61,1,96823.32,1.135290651053899,0.15384615384615385,14.903846153846153,1,1,1
1,376,46,6,0.0,1,157333.69,0.0,0.13043478260869565,8.173913043478262,1,0,0
1,715,38,5,118590.41,1,5684.17,20.86327643261901,0.13157894736842105,18.81578947368421,1,1,0
1,684,48,3,73309.38,1,21228.34,3.4533731794384304,0.0625,14.25,0,0,0
1,586,43,8,132558.26,1,67046.83,1.977099588451833,0.18604651162790697,13.627906976744185,1,0,0
1,722,49,3,168197.66,1,140765.57,1.1948778383805074,0.061224489795918366,14.73469387755102,1,0,0
1,646,42,3,175159.9,2,67124.48,2.609478687954082,0.07142857142857142,15.380952380952381,0,0,0
1,444,45,6,0.0,1,130009.85,0.0,0.13333333333333333,9.866666666666667,1,0,1
1,724,40,10,0.0,1,127847.25,0.0,0.25,18.1,1,0,1
1,676,37,5,89634.69,1,169583.18,0.5285588464610701,0.13513513513513514,18.27027027027027,1,1,0
1,625,49,6,173434.9,1,165580.93,1.047432817293634,0.12244897959183673,12.755102040816327,1,0,1
1,726,48,4,0.0,1,114020.06,0.0,0.08333333333333333,15.125,1,0,0
1,581,47,1,122949.14,1,180251.68,0.6820970545184378,0.02127659574468085,12.361702127659575,0,0,0
1,512,36,4,152169.12,2,38629.3,3.9392150517871145,0.1111111111111111,14.222222222222221,0,0,1
1,731,52,10,0.0,1,24998.75,0.0,0.19230769230769232,14.057692307692308,1,1,0
1,594,57,6,0.0,1,19376.56,0.0,0.10526315789473684,10.421052631578947,1,0,1
1,844,40,7,113348.14,1,31904.31,3.5527532173552725,0.175,21.1,1,0,1
1,803,42,5,0.0,1,196466.83,0.0,0.11904761904761904,19.11904761904762,1,0,1
1,712,36,2,100749.5,3,70758.37,1.4238527540982078,0.05555555555555555,19.77777777777778,0,0,1
1,715,41,4,94267.9,1,152821.12,0.6168512572084277,0.0975609756097561,17.4390243902439,0,1,1
1,692,29,4,0.0,1,76755.99,0.0,0.13793103448275862,23.862068965517242,1,0,1
1,713,52,0,185891.54,1,46369.57,4.008912310379415,0.0,13.711538461538462,1,1,0
1,608,62,8,144976.5,1,175836.03,0.8244982555622986,0.12903225806451613,9.806451612903226,0,0,0
1,731,47,1,115414.19,3,191734.67,0.6019474203596042,0.02127659574468085,15.553191489361701,0,0,0
1,669,35,7,0.0,1,49108.23,0.0,0.2,19.114285714285714,1,1,0
1,618,37,5,96652.86,1,98686.4,0.9793939185135947,0.13513513513513514,16.7027027027027,1,0,0
1,513,35,8,0.0,1,76640.29,0.0,0.22857142857142856,14.657142857142857,1,0,1
1,755,41,6,104817.41,1,126013.58,0.8317945573802443,0.14634146341463414,18.414634146341463,1,0,1
1,552,49,4,0.0,1,190296.76,0.0,0.08163265306122448,11.26530612244898,1,1,1
1,673,43,5,168069.73,1,146992.24,1.143391855243515,0.11627906976744186,15.651162790697674,1,1,0
1,765,50,9,126547.8,1,79579.94,1.590197228095422,0.18,15.3,1,1,0
1,701,40,5,169742.64,1,153537.55,1.1055447999528456,0.125,17.525,1,1,1
